word,meaning,phonetic,example,example_cn
mature,使成熟；成熟的；成熟的；成年人的；深思熟虑的；到期的，应支付的,,She has become more mature since she started working.,她开始工作后变得更成熟了。
maximum,最大值的，最大量的；最大的；最大的， 最高的， 顶点的；最大量；最大量，顶点,,The maximum speed on this road is 60 kilometers per hour.,这条路的最高时速是60公里。
may,aux可能；可以，祝,,May I borrow your pen for a moment?,我可以借用一下你的笔吗？
maybe,大概，或许；也许,,"Maybe it will rain later, so bring an umbrella.",也许稍后会下雨，所以带上伞吧。
mayor,市长,,The mayor gave a speech at the city hall.,市长在市政厅发表了演讲。
me,(宾格)我,,Could you help me carry this box?,你能帮我搬这个箱子吗？
meadow,草地，牧草地,,The cows were grazing in the green meadow.,牛群在绿色的草地上吃草。
meal,膳食，一餐,,We had a delicious meal at the new restaurant.,我们在这家新餐厅吃了一顿美味的饭。
mean,作…解释；意指,,What does this word mean in English?,这个单词在英语里是什么意思？
meaning,意义， 意思； 目的； 重要性；意义，意思；意图,,Can you explain the meaning of this sentence?,你能解释一下这句话的意思吗？
means,方法；方法， 手段， 工具； 金钱， 财产；方法，手段，工具,,Bicycle is a common means of transportation in this city.,自行车是这个城市常见的交通方式。
meantime,其时，其间；其间， 同时；当时,,"The meeting starts at three; in the meantime, let's get some coffee.",会议三点开始，在此期间我们去喝杯咖啡吧。
meanwhile,与此同时；同时，当时,,"I went shopping; meanwhile, my husband cleaned the house.",我去购物了，与此同时我丈夫打扫了房子。
measurable,可测量的,,We need measurable goals for this project.,我们需要为这个项目设定可衡量的目标。
measure,分量；分量，尺寸，量具，测量；；分量； 尺寸； 量具； 计量单位； 量度， 测量； 措施， 办法；测量；测量，度量；衡量；量，测量,,We need to measure the length of the table.,我们需要量一下桌子的长度。
measurement,衡量， 测量； 尺寸， 大小；衡量，测量；尺寸,,Take the measurement of the window before buying curtains.,买窗帘前先量一下窗户的尺寸。
meat,肉,,I prefer chicken meat over beef.,比起牛肉我更喜欢鸡肉。
mechanic,技工， 机修工； 力学， 机械学； 过程， 方法， 技术性细节；技工，机械，机修工；机械师,,The mechanic fixed my car in just one hour.,机修工仅用一小时就修好了我的车。
mechanical,机械的， 机械制造的； 机械学的， 力学的； 呆板的；机械的；力学的,,He has a good understanding of mechanical systems.,他对机械系统有很好的理解。
mechanically,机械地,,She mechanically repeated the instructions without thinking.,她机械地重复了指令，没有思考。
mechanics,力学；技术性细节,,Understanding the mechanics of a bicycle helps you fix it.,了解自行车的机械结构有助于你修理它。
mechanism,机制，机能；机械装置； 机制， 机理； 办法， 途径,,The lock has a special safety mechanism.,这把锁有一个特殊的安全机制。
medal,奖牌， 奖章， 勋章；奖章，勋章，纪念章,,He won a gold medal in the swimming competition.,他在游泳比赛中赢得了金牌。
media,新闻媒介， 传播媒介,,The media reported the news all over the world.,媒体向全世界报道了这则新闻。
medical,医学的；内科的,,She needs medical attention for her injury.,她的伤需要医疗处理。
medication,药物治疗； 药物,,The doctor prescribed medication for my cough.,医生为我的咳嗽开了药。
medicine,内服药；医学,,Take this medicine three times a day after meals.,这种药饭后服用，每天三次。
medium,中等的；媒体；媒介物，传导体；媒质；中间a中等的,,I would like my steak cooked medium.,我的牛排要五分熟。
meet,相遇；遇见,,"Nice to meet you, my name is Tom.",很高兴认识你，我叫汤姆。
meeting,聚集，会合，会见,,We have a team meeting every Monday morning.,我们每周一早上开团队会议。
melon,瓜，甜瓜,,This melon is very sweet and juicy.,这个瓜又甜又多汁。
melt,使融化；融化；融化； 熔化； 消散,,The ice cream started to melt in the hot sun.,冰淇淋在烈日下开始融化。
member,成员，会员,,She is a member of the swimming club.,她是游泳俱乐部的一名成员。
membership,会员身份， 会籍； 全体会员， 会员数,,You need a membership to use the gym.,你需要会员资格才能使用健身房。
memorial,纪念的，悼念的；纪念的；记忆的；纪念碑， 纪念堂， 纪念仪式,,They built a memorial to honor the heroes.,他们建造了一座纪念碑来纪念英雄们。
memorize,熟记，牢记,,Students need to memorize a lot of vocabulary words.,学生需要记住大量词汇。
memory,记忆；回忆；存储,,I have a good memory for faces.,我对人脸有很好的记忆力。
mend,修理，修补，缝补,,Can you mend this hole in my shirt?,你能补一下我衬衫上的这个洞吗？
mental,心理的， 精神的， 思想上的； 精神病的； 智力的；智力的；精神的,,Regular exercise is good for both physical and mental health.,定期锻炼对身心健康都有好处。
mention,提及， 说起；提及，说起,,Did she mention when she would arrive?,她有没有提到她什么时候到？
menu,菜单；菜单；饭菜，菜肴,,Let me look at the menu to decide what to eat.,让我看看菜单来决定吃什么。
merchant,商人；商人；零售商,,The merchant sold fresh fish at the market.,商人在市场上卖鲜鱼。
mercury,水银，汞,,Mercury is a liquid metal used in old thermometers.,水银是旧式温度计中使用的一种液态金属。
mercy,仁慈， 宽容； 恩惠； 幸运；仁慈，慈悲，恩惠,,The judge showed mercy and gave him a light sentence.,法官表现出仁慈，给了他一个轻判。
mere,仅仅的； 纯粹的；仅仅的；纯粹的,,"It was a mere scratch, not a serious injury.",那只是轻微划伤，不是重伤。
merely,仅仅， 只不过；仅仅，只不过,,I was merely trying to help you with the problem.,我只是想帮你解决这个问题。
merit,优点，成绩；值得；值得， 应受；长处，优点，价值；功劳，成绩；长处，优点；功过,,Each plan has its own merits and drawbacks.,每个方案各有其优点和缺点。
merry,欢乐的， 愉快的；欢乐的，愉快的,,We wish you a merry Christmas!,祝你圣诞快乐！
mess,凌乱状态，混乱的局面；困境；弄糟， 弄脏， 搞乱；混乱，混杂，肮脏,,My room is a complete mess right now.,我的房间现在一片混乱。
message,信息，消息；启示,,I received your message this morning.,我今天早上收到了你的消息。
messenger,送信者，信使,,The messenger delivered the package to our door.,信使把包裹送到了我们家门口。
metal,金属，金属制品,,The gate is made of strong metal.,这扇门是用坚固的金属制成的。
meter,计量器，计，表,,The taxi driver checked the meter to calculate the fare.,出租车司机查看计价器来计算车费。
method,方法，办法；教学法,,This is a more effective method of learning English.,这是一种更有效的英语学习方法。
metre,米，公尺,,The swimming pool is twenty-five metres long.,这个游泳池有二十五米长。
metric,公制的， 米制的；公制的，米制的,,Most countries use the metric system for measurement.,大多数国家使用公制计量系统。
microcomputer,微型计算机，微机,,Modern smartphones are more powerful than early microcomputers.,现代智能手机比早期的微型计算机更强大。
microphone,扩音器， 话筒， 麦克风；话筒，麦克风,,The singer held the microphone close to her mouth.,歌手把麦克风靠近她的嘴。
microscope,显微镜,,Scientists use a microscope to see tiny cells.,科学家用显微镜观察微小的细胞。
midday,正午，中午,,The sun is strongest at midday.,正午时分太阳最强烈。
middle,中部；中部的,,She sat in the middle of the front row.,她坐在前排中间的位置。
midnight,午夜，子夜，夜半,,The party continued until midnight.,派对一直持续到午夜。
midst,中部，中间，当中,,She found herself in the midst of a crowd.,她发现自己身处人群之中。
might,aux可能，会，也许,,"It might rain later, so take an umbrella.",稍后可能会下雨，所以带上伞吧。
migration,迁移，移民,,Birds begin their migration south in autumn.,鸟类在秋天开始向南迁徙。
mild,和缓的；温柔的；温柔的； 温暖的； 轻微的,,"The weather is mild today, neither hot nor cold.",今天天气温和，不热也不冷。
mile,英里,,They walked for miles along the beach.,他们沿着海滩走了好几英里。
military,军事的，军用的；军事的；军人的；军队的，军事的；军队， 武装力量,,He joined the military after finishing high school.,他高中毕业后参了军。
milk,乳，牛奶；挤(奶),,I drink a glass of milk every morning.,我每天早上喝一杯牛奶。
